epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8833,1.67177,3.10715,1.73422,0.01105,0.91304,0.03155,0.01253,1.39946,3.21134,1.68969,2e-05,2e-05,2e-05
2,33.1461,1.37479,2.8988,1.46971,0.0114,0.94203,0.07259,0.03401,1.30799,3.17862,1.59456,5.95248e-05,5.95248e-05,5.95248e-05
3,47.6235,1.33328,2.95637,1.42988,0.0114,0.94203,0.20697,0.10918,1.19249,3.08726,1.44264,9.8416e-05,9.8416e-05,9.8416e-05
4,62.5093,1.37586,2.74061,1.43966,0.01158,0.95652,0.47489,0.26842,1.14886,2.92978,1.27944,0.000136674,0.000136674,0.000136674
5,76.9534,1.30692,2.48818,1.35656,0.01175,0.97101,0.63033,0.38833,1.10961,2.69365,1.15724,0.000174298,0.000174298,0.000174298
6,91.7731,1.3419,1.76004,1.26523,0.84643,0.47929,0.71668,0.45164,1.16574,2.44223,1.13711,0.000211288,0.000211288,0.000211288
7,107.144,1.37751,1.45189,1.24015,0.86698,0.66129,0.7969,0.50093,1.20297,2.05528,1.11737,0.000247645,0.000247645,0.000247645
8,122.71,1.22398,1.30124,1.1753,0.96156,0.72511,0.8483,0.51291,1.27037,1.63841,1.10969,0.000283368,0.000283368,0.000283368
9,136.961,1.21148,1.30244,1.19929,0.94638,0.76743,0.86277,0.49674,1.31574,1.57377,1.12864,0.000318458,0.000318458,0.000318458
10,151.845,1.18109,1.16135,1.11634,0.98205,0.79288,0.88316,0.45218,1.36565,1.58069,1.14002,0.000352914,0.000352914,0.000352914
11,166.499,1.08098,1.22952,1.16561,1,0.81034,0.9033,0.42646,1.54187,1.62182,1.20442,0.000386736,0.000386736,0.000386736
12,181.254,1.3101,1.21684,1.16289,0.98216,0.7981,0.91803,0.54158,1.41012,1.70796,1.15515,0.000419925,0.000419925,0.000419925
13,195.031,1.24371,1.1977,1.12539,0.9701,0.81159,0.94168,0.61161,1.19955,1.74286,1.06095,0.00045248,0.00045248,0.00045248
14,210.015,1.23386,1.18454,1.14374,0.98305,0.84056,0.95053,0.61209,1.19425,1.73152,1.04845,0.000484402,0.000484402,0.000484402
15,224.71,1.35826,1.15602,1.30913,0.93282,0.805,0.94696,0.54455,1.32631,1.69563,1.14398,0.00051569,0.00051569,0.00051569
16,239.157,1.14095,1.05003,1.0957,0.96803,0.87767,0.96537,0.60225,1.21666,1.66179,1.09602,0.000546344,0.000546344,0.000546344
17,254.239,1.14499,0.96925,1.15607,1,0.86921,0.97584,0.66422,1.16064,1.50616,1.06307,0.000576365,0.000576365,0.000576365
18,268.925,1.24284,1.07929,1.16307,1,0.85428,0.98391,0.67088,1.17212,1.42723,1.07124,0.000605752,0.000605752,0.000605752
19,284.428,1.12593,1.05495,1.11586,0.99141,0.84058,0.979,0.66004,1.17927,1.3727,1.08628,0.000634506,0.000634506,0.000634506
20,298.94,1.13599,0.90174,1.12821,1,0.8016,0.98926,0.67463,1.17336,1.42511,1.08745,0.000662626,0.000662626,0.000662626
21,313.944,1.06146,1.04262,1.18419,0.96451,0.78791,0.98337,0.64532,1.18542,1.49391,1.08111,0.000690112,0.000690112,0.000690112
22,328.232,1.07726,0.89058,1.09965,1,0.81625,0.98882,0.6684,1.13708,1.54115,1.03075,0.000716965,0.000716965,0.000716965
23,342.996,1.12964,1.02008,1.14362,1,0.76773,0.99329,0.67054,1.15997,1.69353,1.04022,0.000743184,0.000743184,0.000743184
24,357.617,1.2426,0.96483,1.14291,1,0.61283,0.95342,0.63155,1.17144,1.91711,1.05303,0.00076877,0.00076877,0.00076877
25,371.824,1.11045,0.96869,1.12478,1,0.24981,0.84243,0.40786,1.4908,2.33935,1.23026,0.000793722,0.000793722,0.000793722
26,386.835,1.03891,0.85328,1.09737,1,0.12117,0.69248,0.2457,1.76617,2.54058,1.40333,0.00081804,0.00081804,0.00081804
27,401.798,1.18394,0.92922,1.19893,1,0.18865,0.80398,0.38484,1.56079,2.36699,1.27691,0.000841725,0.000841725,0.000841725
28,416.751,1.07207,0.94116,1.124,1,0.18865,0.80398,0.38484,1.56079,2.36699,1.27691,0.000864776,0.000864776,0.000864776
29,431.441,1.04066,0.88499,1.12356,1,0.58972,0.94317,0.62527,1.16075,1.97236,1.06664,0.000887194,0.000887194,0.000887194
30,445.79,1.13839,0.89969,1.13558,1,0.80214,0.98746,0.66355,1.09575,1.76836,1.03107,0.000908978,0.000908978,0.000908978
31,459.892,1.08289,0.92717,1.11768,1,0.80214,0.98746,0.66355,1.09575,1.76836,1.03107,0.000930128,0.000930128,0.000930128
32,474.604,1.03845,0.95941,1.07464,0.98256,0.81654,0.98154,0.63014,1.16544,1.73654,1.06686,0.000950645,0.000950645,0.000950645
33,488.82,1.00896,0.7987,1.02183,0.98107,0.75122,0.97046,0.60172,1.2138,1.7876,1.09103,0.000970528,0.000970528,0.000970528
34,502.758,1.23582,1.08028,1.19914,0.98107,0.75122,0.97046,0.60172,1.2138,1.7876,1.09103,0.000989778,0.000989778,0.000989778
35,518.038,1.06106,0.84414,1.15393,0.9816,0.77325,0.95755,0.62543,1.15407,1.73743,1.06959,0.00100839,0.00100839,0.00100839
36,533.156,1.00344,0.92603,1.10132,1,0.83711,0.96625,0.69434,1.0467,1.54109,1.00454,0.00102638,0.00102638,0.00102638
37,547.757,1.13509,0.85767,1.14027,1,0.83711,0.96625,0.69434,1.0467,1.54109,1.00454,0.00104372,0.00104372,0.00104372
38,562.109,1.03837,0.84652,1.07133,0.96788,0.85507,0.97734,0.7082,0.97139,1.4198,0.9971,0.00106044,0.00106044,0.00106044
39,576.524,1.01809,0.8498,1.03032,0.97383,0.86957,0.97937,0.70549,0.99517,1.36255,1.03274,0.00107652,0.00107652,0.00107652
40,591.25,0.96893,0.84155,1.0778,0.97383,0.86957,0.97937,0.70549,0.99517,1.36255,1.03274,0.00109197,0.00109197,0.00109197
41,605.682,0.96614,0.7614,1.02852,0.96928,0.91447,0.96575,0.69522,1.01371,1.35342,1.04247,0.00110678,0.00110678,0.00110678
42,619.749,0.98734,0.83896,1.05953,1,0.91003,0.97188,0.71452,0.97537,1.28612,1.01716,0.00112096,0.00112096,0.00112096
43,634.947,0.97215,0.88067,1.10337,1,0.91003,0.97188,0.71452,0.97537,1.28612,1.01716,0.00113451,0.00113451,0.00113451
44,650.438,0.98175,0.82761,1.04135,0.98471,0.93353,0.988,0.74703,0.91143,1.13529,0.97313,0.00114743,0.00114743,0.00114743
45,665.952,0.94137,0.98572,1.17153,0.98471,0.93353,0.988,0.74703,0.91143,1.13529,0.97313,0.00115971,0.00115971,0.00115971
46,681.538,1.05033,1.04012,1.18012,0.98494,0.94786,0.98949,0.77083,0.83458,1.08357,0.94516,0.00117135,0.00117135,0.00117135
47,695.725,0.87178,0.76361,1.00099,0.98494,0.94786,0.98949,0.77083,0.83458,1.08357,0.94516,0.00118236,0.00118236,0.00118236
48,710.398,0.90114,0.77976,1.08776,0.9856,0.99186,0.99443,0.7874,0.82017,0.97334,0.9456,0.00119274,0.00119274,0.00119274
49,724.341,0.78187,0.70113,0.94507,0.9856,0.99186,0.99443,0.7874,0.82017,0.97334,0.9456,0.00120249,0.00120249,0.00120249
50,738.347,0.87405,0.74877,0.99429,0.99812,1,0.995,0.78737,0.82536,0.85213,0.95493,0.0012116,0.0012116,0.0012116
51,752.898,0.88794,0.78606,1.05121,0.99812,1,0.995,0.78737,0.82536,0.85213,0.95493,0.001208,0.001208,0.001208
52,768.11,0.8077,0.71293,0.93221,1,0.99481,0.995,0.77077,0.84912,0.82431,0.9652,0.00119216,0.00119216,0.00119216
53,783.139,0.80779,0.76146,1.01428,1,0.99481,0.995,0.77077,0.84912,0.82431,0.9652,0.00117632,0.00117632,0.00117632
54,797.793,0.84694,0.73466,1.00549,0.98571,0.99983,0.99386,0.77058,0.85683,0.84009,0.98138,0.00116048,0.00116048,0.00116048
55,812.361,0.8257,0.70803,0.99668,0.98571,0.99983,0.99386,0.77058,0.85683,0.84009,0.98138,0.00114464,0.00114464,0.00114464
