epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.213,1.2879,2.23367,1.39676,0.98731,0.72057,0.93687,0.61328,1.05035,3.18825,1.18775,0.0005,0.0005,0.0005
2,713.833,1.21201,1.4672,1.27801,0.95213,0.92084,0.97463,0.62312,1.13442,2.7723,1.17476,0.00100654,0.00100654,0.00100654
3,1144.54,1.18518,1.30294,1.25199,0.87481,0.75926,0.83237,0.55994,1.1419,2.5055,1.19202,0.00149934,0.00149934,0.00149934
4,1596.06,1.16999,1.22867,1.26994,0.77924,0.65371,0.75541,0.45422,1.32991,2.03833,1.41694,0.0019208,0.0019208,0.0019208
5,2027.25,1.11784,1.10003,1.22805,0.93188,0.92593,0.96858,0.69693,1.04153,1.29203,1.18516,0.0018944,0.0018944,0.0018944
6,2459.65,1.12604,0.99808,1.2323,0.83422,0.79212,0.87237,0.50448,1.39809,1.63538,1.35059,0.001868,0.001868,0.001868
7,2901.8,1.12328,0.93515,1.20438,0.98833,0.99074,0.99463,0.73862,0.90417,0.92772,1.07829,0.0018416,0.0018416,0.0018416
8,3327.01,1.05676,0.81682,1.17992,0.97122,0.93745,0.98995,0.70617,1.05162,0.90441,1.15152,0.0018152,0.0018152,0.0018152
9,3748.58,1.01613,0.78223,1.15168,0.97792,0.94444,0.98595,0.63818,1.17181,0.8622,1.24801,0.0017888,0.0017888,0.0017888
10,10828.3,1.05388,0.76311,1.17299,0.9063,0.92593,0.94351,0.62364,1.10767,0.91107,1.2202,0.0017624,0.0017624,0.0017624
11,11211.2,1.01228,0.7018,1.15417,0.97977,1,0.99408,0.75254,0.86402,0.6218,1.04032,0.001736,0.001736,0.001736
12,11582.6,0.94998,0.66354,1.12631,0.99855,1,0.995,0.77887,0.83028,0.55491,1.02307,0.0017096,0.0017096,0.0017096
13,12051.5,0.92112,0.62365,1.11106,0.98169,0.99289,0.99491,0.78634,0.74065,0.53799,0.97431,0.0016832,0.0016832,0.0016832
14,12568.4,0.93109,0.62632,1.1349,0.99888,1,0.995,0.7901,0.81061,0.5244,1.01077,0.0016568,0.0016568,0.0016568
15,13003.9,0.88937,0.61961,1.10718,0.99934,1,0.995,0.77221,0.83741,0.50303,1.02625,0.0016304,0.0016304,0.0016304
16,13431.4,0.89027,0.59657,1.11974,0.98721,1,0.99491,0.78827,0.75934,0.46995,0.98393,0.001604,0.001604,0.001604
17,13894.2,0.89664,0.58072,1.09581,0.96374,1,0.99436,0.81592,0.70938,0.46254,0.96128,0.0015776,0.0015776,0.0015776
18,18402.7,0.87623,0.56935,1.11956,0.97031,1,0.99253,0.84048,0.65584,0.48212,0.93366,0.0015512,0.0015512,0.0015512
19,22470.4,0.84547,0.55589,1.07495,1,0.99741,0.995,0.83379,0.61076,0.43865,0.92185,0.0015248,0.0015248,0.0015248
20,22937.4,0.78199,0.50944,1.06023,0.99923,1,0.995,0.84738,0.5888,0.38594,0.90931,0.0014984,0.0014984,0.0014984
21,23403.6,0.79766,0.50734,1.04485,0.99082,0.99889,0.98995,0.82579,0.64994,0.41174,0.96317,0.001472,0.001472,0.001472
22,23895.2,0.85351,0.54425,1.08881,0.99082,0.99916,0.99482,0.83697,0.61062,0.38594,0.92293,0.0014456,0.0014456,0.0014456
23,24394.4,0.76222,0.50063,1.03686,0.99898,1,0.995,0.85097,0.60106,0.38085,0.91308,0.0014192,0.0014192,0.0014192
24,24809.5,0.75424,0.49583,1.04113,0.99926,1,0.995,0.86963,0.50717,0.35305,0.87795,0.0013928,0.0013928,0.0013928
25,25220.3,0.74093,0.48309,1.03098,0.99908,1,0.995,0.86925,0.53031,0.36213,0.88872,0.0013664,0.0013664,0.0013664
26,25611.9,0.72982,0.48604,1.0389,1,0.99988,0.995,0.88353,0.52578,0.36567,0.88235,0.00134,0.00134,0.00134
27,25996.8,0.72912,0.4909,1.02756,0.99932,1,0.995,0.89935,0.45683,0.32948,0.86341,0.0013136,0.0013136,0.0013136
28,26388.7,0.69139,0.45782,1.00925,0.99964,1,0.995,0.85696,0.58782,0.34198,0.90493,0.0012872,0.0012872,0.0012872
29,26771.4,0.70067,0.44949,1.00972,0.99034,1,0.99445,0.81292,0.70085,0.36995,0.96133,0.0012608,0.0012608,0.0012608
30,27174.6,0.67917,0.44827,1.01282,0.99082,0.99948,0.995,0.88938,0.49502,0.31887,0.87321,0.0012344,0.0012344,0.0012344
31,27572.4,0.67281,0.43645,1.00224,0.99023,1,0.995,0.89268,0.47279,0.30768,0.86021,0.001208,0.001208,0.001208
32,27969.1,0.68401,0.43297,0.99633,0.989,1,0.99472,0.86808,0.53168,0.33313,0.89258,0.0011816,0.0011816,0.0011816
