epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.59,1.19813,2.65496,1.46185,0.00619,0.63021,0.33674,0.26943,0.70973,3.2112,1.0504,0.00030006,0.00030006,0.00030006
2,5680.9,0.91524,1.44141,1.16798,1,0.35297,0.43407,0.33718,0.89382,2.63412,1.26611,0.000606613,0.000606613,0.000606613
3,6007.02,0.88545,1.27651,1.16533,0.6071,0.32593,0.40357,0.29343,0.8622,2.96172,1.17498,0.000902714,0.000902714,0.000902714
4,6326.13,0.86155,1.18952,1.13737,0.64365,0.49398,0.48194,0.27605,1.54516,2.79581,1.74946,0.00118836,0.00118836,0.00118836
5,6663.05,0.82435,1.07709,1.10671,0.95895,0.93263,0.98144,0.76489,0.89786,1.50489,1.17659,0.00146356,0.00146356,0.00146356
6,6985.93,0.86377,1.00971,1.11671,0.56716,0.81822,0.64566,0.47596,0.92408,2.4648,1.16081,0.00152947,0.00152947,0.00152947
7,7260.48,0.78568,0.90103,1.08719,0.99702,0.95833,0.99192,0.83251,0.61343,1.13409,0.98078,0.00150197,0.00150197,0.00150197
8,7540.75,0.78201,0.85795,1.07687,0.98782,0.99865,0.99492,0.83487,0.62172,0.99486,0.99252,0.00147446,0.00147446,0.00147446
9,7824.24,0.76193,0.82056,1.07094,0.98159,0.98673,0.995,0.79364,0.79267,0.818,1.08784,0.00144696,0.00144696,0.00144696
10,8089.86,0.75221,0.7502,1.07591,0.97684,1,0.995,0.87676,0.57854,0.81105,0.95471,0.00141945,0.00141945,0.00141945
11,8364.22,0.7434,0.75211,1.08075,0.98919,1,0.995,0.83771,0.64111,0.75412,1.00471,0.00139195,0.00139195,0.00139195
12,8633.83,0.77055,0.78779,1.08195,0.9895,1,0.995,0.85568,0.60864,0.66551,0.97819,0.00136444,0.00136444,0.00136444
13,8914.11,0.72321,0.72227,1.06043,0.99771,0.99466,0.995,0.88328,0.49734,0.62067,0.9177,0.00133693,0.00133693,0.00133693
14,9185.03,0.63994,0.59983,1.01164,0.98812,1,0.995,0.88653,0.45643,0.56928,0.89752,0.00130943,0.00130943,0.00130943
15,9455.21,0.66922,0.601,1.01591,0.9891,1,0.99469,0.85036,0.5909,0.5804,0.95369,0.00128192,0.00128192,0.00128192
16,9735.93,0.69336,0.59836,1.04163,0.99759,1,0.995,0.9024,0.42729,0.55218,0.88803,0.00125442,0.00125442,0.00125442
17,10060.6,0.65515,0.56032,1.02352,0.99218,1,0.995,0.90025,0.46107,0.50488,0.89904,0.00122691,0.00122691,0.00122691
18,10376.6,0.60789,0.52415,1.00401,0.96595,1,0.995,0.93081,0.38931,0.44668,0.86578,0.00119941,0.00119941,0.00119941
19,10681.9,0.58261,0.51798,0.99331,0.99426,1,0.995,0.90786,0.40386,0.43488,0.87238,0.0011719,0.0011719,0.0011719
20,10991.9,0.61502,0.50953,1.00794,0.99468,1,0.995,0.92296,0.38061,0.38351,0.8616,0.0011444,0.0011444,0.0011444
21,11306.2,0.60807,0.5101,1.01496,0.99713,1,0.995,0.93452,0.34492,0.37661,0.85269,0.00111689,0.00111689,0.00111689
22,11620.5,0.59545,0.48231,0.99715,0.99423,1,0.995,0.93665,0.35,0.35556,0.85617,0.00108938,0.00108938,0.00108938
23,13278.4,0.54782,0.44857,0.98282,0.99701,0.99989,0.995,0.9429,0.33386,0.34425,0.84881,0.00106188,0.00106188,0.00106188
24,13539.7,0.57375,0.45136,0.98399,0.99407,1,0.995,0.93358,0.34891,0.34529,0.85142,0.00103437,0.00103437,0.00103437
25,13806.8,0.54945,0.44071,0.98328,0.997,1,0.995,0.93059,0.35748,0.30996,0.85692,0.00100687,0.00100687,0.00100687
26,14084.7,0.52772,0.43059,0.96189,0.99494,1,0.995,0.9193,0.35584,0.31792,0.85129,0.000979362,0.000979362,0.000979362
27,14374.6,0.57042,0.4811,0.99816,0.99698,1,0.995,0.95545,0.28307,0.28747,0.83428,0.000951857,0.000951857,0.000951857
28,14653.6,0.53782,0.42201,0.98804,0.99233,1,0.995,0.94422,0.33653,0.30827,0.84196,0.000924352,0.000924352,0.000924352
29,14931.9,0.53756,0.41707,0.97847,0.99401,1,0.995,0.95848,0.32198,0.29636,0.84219,0.000896846,0.000896846,0.000896846
30,15202.3,0.55918,0.42007,0.96576,0.99656,1,0.995,0.97372,0.29011,0.30506,0.83613,0.00086934,0.00086934,0.00086934
31,15478.8,0.55089,0.43232,0.97629,0.99576,1,0.995,0.92754,0.40027,0.30797,0.87106,0.000841835,0.000841835,0.000841835
32,15756.7,0.52016,0.40124,0.97366,0.99622,1,0.995,0.95804,0.27384,0.25255,0.82972,0.000814329,0.000814329,0.000814329
33,16020.3,0.50691,0.39606,0.94625,0.99741,1,0.995,0.96245,0.27828,0.26661,0.83392,0.000786824,0.000786824,0.000786824
34,16282.7,0.49368,0.39071,0.95437,0.99481,1,0.995,0.96231,0.2861,0.26478,0.83535,0.000759318,0.000759318,0.000759318
35,16952.4,0.46677,0.37054,0.95148,0.99693,1,0.995,0.96299,0.25095,0.25013,0.82344,0.000731813,0.000731813,0.000731813
