epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.006,0.92643,0.65896,1.46393,0.98558,0.99088,0.99457,0.74496,0.95506,0.68163,1.59695,0.0004,0.0004,0.0004
2,505.188,0.80974,0.54481,1.30849,0.99465,1,0.995,0.76736,0.86887,0.5451,1.44311,0.00080524,0.00080524,0.00080524
3,762.289,0.79773,0.52539,1.29622,0.97499,0.97826,0.99379,0.75091,0.93726,0.58623,1.49269,0.00119536,0.00119536,0.00119536
4,1018.53,0.74648,0.49514,1.23171,0.97154,0.98939,0.99399,0.79897,0.7657,0.47439,1.3827,0.00157036,0.00157036,0.00157036
5,1278.02,0.74169,0.49143,1.2498,0.99347,0.96377,0.99374,0.76589,0.84997,0.53724,1.48259,0.001856,0.001856,0.001856
6,1536.91,0.75798,0.48251,1.23593,0.97803,0.96795,0.99064,0.82537,0.68435,0.47713,1.25798,0.00182,0.00182,0.00182
7,1785.89,0.76544,0.49084,1.22062,0.96721,0.92029,0.96602,0.78242,0.74194,0.55198,1.34659,0.001784,0.001784,0.001784
8,2037.54,0.71818,0.4661,1.21725,1,0.99259,0.995,0.85851,0.60295,0.42418,1.182,0.001748,0.001748,0.001748
9,2299.3,0.66313,0.45529,1.17489,0.98475,1,0.99457,0.88761,0.52897,0.39029,1.13223,0.001712,0.001712,0.001712
10,2561.06,0.62605,0.42273,1.14043,0.99938,1,0.995,0.90447,0.48665,0.36082,1.0674,0.001676,0.001676,0.001676
11,2824.59,0.63463,0.42309,1.15434,0.99924,1,0.995,0.82689,0.63727,0.39084,1.24224,0.00164,0.00164,0.00164
12,3062.34,0.61101,0.41873,1.12752,0.99718,1,0.995,0.87966,0.50429,0.34315,1.05849,0.001604,0.001604,0.001604
13,3322.22,0.6134,0.41105,1.12542,0.99735,1,0.995,0.89765,0.48867,0.35259,1.06348,0.001568,0.001568,0.001568
14,3581.65,0.61822,0.42015,1.1317,0.99025,1,0.99486,0.90165,0.46502,0.35686,1.01815,0.001532,0.001532,0.001532
15,3844.21,0.60208,0.40498,1.12702,0.99949,1,0.995,0.89199,0.47098,0.32541,1.03761,0.001496,0.001496,0.001496
