epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8012,1.77702,2.85137,1.78566,0.01123,0.92754,0.65574,0.31359,1.25833,2.83107,1.33497,0.0002,0.0002,0.0002
2,129.09,1.55004,1.70375,1.55687,0.02577,0.75362,0.70939,0.23151,1.51757,2.77841,1.48534,0.000416674,0.000416674,0.000416674
3,190.835,1.38599,1.52705,1.46117,1,0.27508,0.74826,0.35758,1.43087,2.60647,1.34806,0.000629862,0.000629862,0.000629862
4,242.374,1.3921,1.48489,1.45583,0.85434,0.71014,0.72789,0.21657,1.44456,2.40206,1.56048,0.000839566,0.000839566,0.000839566
5,294.897,1.34774,1.40893,1.46288,0.84956,0.65479,0.72728,0.27271,1.38665,2.30339,1.42475,0.00104579,0.00104579,0.00104579
6,346.223,1.35781,1.41351,1.46738,0.55522,0.49275,0.51645,0.17013,1.28095,2.35744,1.41944,0.00124852,0.00124852,0.00124852
7,397.934,1.30801,1.3463,1.41969,0.72199,0.76812,0.73529,0.23441,1.56252,2.10537,1.67337,0.00144777,0.00144777,0.00144777
8,448.999,1.32204,1.34158,1.41817,0.72075,0.67335,0.75434,0.30223,1.44492,2.02289,1.59594,0.00164353,0.00164353,0.00164353
9,500.847,1.32522,1.24007,1.46655,0.20358,0.21739,0.11162,0.02348,1.84406,3.21413,2.0262,0.00183581,0.00183581,0.00183581
10,551.846,1.29534,1.26968,1.42124,0.6558,0.50725,0.46313,0.1077,2.23183,3.54402,2.22336,0.00185744,0.00185744,0.00185744
11,764.131,1.26433,1.19204,1.41549,0.72712,0.61794,0.64142,0.18938,1.83363,2.24835,1.92611,0.0018416,0.0018416,0.0018416
12,817.065,1.26841,1.14574,1.39679,0.66857,0.55552,0.60946,0.19581,1.70472,2.50302,1.84109,0.00182576,0.00182576,0.00182576
13,869.288,1.24189,1.12706,1.38797,0.8989,0.77317,0.89257,0.41023,1.6646,1.46678,1.53118,0.00180992,0.00180992,0.00180992
14,921.721,1.23195,1.13112,1.37427,0.95289,0.87939,0.9524,0.5694,1.24712,1.22666,1.41675,0.00179408,0.00179408,0.00179408
15,973.249,1.18817,1.10123,1.33286,0.96697,0.89855,0.97707,0.69318,1.09508,1.10943,1.29041,0.00177824,0.00177824,0.00177824
16,1024.93,1.24799,1.08162,1.35005,0.95498,0.92227,0.98507,0.6395,1.22562,0.99306,1.42779,0.0017624,0.0017624,0.0017624
17,1076.49,1.16153,0.98886,1.33396,0.97218,0.95652,0.98752,0.58339,1.33636,0.98536,1.50337,0.00174656,0.00174656,0.00174656
18,1127.67,1.19708,0.96295,1.34927,0.99693,0.97101,0.99444,0.71192,1.01257,0.7802,1.24976,0.00173072,0.00173072,0.00173072
19,1178.54,1.24389,0.97581,1.38116,0.97924,0.98551,0.98849,0.58535,1.16846,0.92734,1.30044,0.00171488,0.00171488,0.00171488
20,1228.26,1.19601,0.96456,1.34398,0.91691,0.92754,0.95486,0.57477,1.22213,1.30358,1.34876,0.00169904,0.00169904,0.00169904
