epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.635,1.1885,4.52721,0.01046,0.00602,0.81319,0.41398,0.29901,0.85963,5.88948,0.00908,0.00038,0.00038,0.00038
2,392.146,1.17572,3.60864,0.01025,0.22236,0.64835,0.56155,0.39683,0.93745,5.374,0.01001,0.00076713,0.00076713,0.00076713
3,575.313,1.19804,2.95813,0.01067,0.7693,0.46154,0.64754,0.43511,1.13601,4.83801,0.01243,0.00114106,0.00114106,0.00114106
4,752.667,1.21507,2.43855,0.01061,0.77687,0.53566,0.72735,0.53236,0.99079,4.03078,0.01083,0.00150179,0.00150179,0.00150179
5,928.838,1.17799,2.26502,0.01057,0.80533,0.81831,0.90684,0.65097,1.04232,3.19585,0.01112,0.00184932,0.00184932,0.00184932
6,1111.47,1.2381,2.02022,0.01076,0.78223,0.86813,0.93007,0.68334,0.9715,2.52379,0.01014,0.001835,0.001835,0.001835
7,1288.83,1.22391,1.7822,0.01083,0.85673,0.75824,0.90917,0.64937,1.08906,2.35522,0.01167,0.001802,0.001802,0.001802
8,1464.97,1.14195,1.53607,0.00979,0.90635,0.89011,0.95454,0.72325,0.91343,1.69067,0.00978,0.001769,0.001769,0.001769
9,1656.78,1.25454,1.50886,0.01162,0.88294,0.91209,0.95916,0.71856,0.90693,1.48744,0.00984,0.001736,0.001736,0.001736
10,1844.32,1.18159,1.34992,0.01019,0.86127,0.9011,0.96335,0.72486,0.89821,1.28555,0.0095,0.001703,0.001703,0.001703
11,2028.59,1.11961,1.18587,0.0097,0.88545,0.9011,0.96668,0.75109,0.82992,1.1728,0.00878,0.00167,0.00167,0.00167
12,2212.72,1.11044,1.1354,0.00937,0.96586,0.93274,0.98075,0.72906,0.92597,1.091,0.00969,0.001637,0.001637,0.001637
13,2403.17,1.05011,1.03282,0.00944,0.92358,0.92966,0.97623,0.78754,0.73848,0.97913,0.00777,0.001604,0.001604,0.001604
14,2565.14,0.99903,0.94209,0.00864,0.92805,0.91209,0.97964,0.76953,0.80241,0.90225,0.00838,0.001571,0.001571,0.001571
15,2728.77,1.00273,0.91531,0.00861,0.91568,0.97802,0.97978,0.79835,0.69111,0.7825,0.00721,0.001538,0.001538,0.001538
16,2889.06,0.99888,0.85393,0.00854,0.94505,0.94504,0.98052,0.81343,0.70951,0.6842,0.00756,0.001505,0.001505,0.001505
17,3048.09,0.96196,0.81379,0.00806,0.95725,0.93407,0.98566,0.83785,0.61717,0.66557,0.0064,0.001472,0.001472,0.001472
18,3208.39,0.92949,0.73038,0.00776,0.88891,0.96729,0.98465,0.80296,0.74721,0.62405,0.00821,0.001439,0.001439,0.001439
19,3366.26,0.92278,0.69912,0.00786,0.95809,0.95604,0.98926,0.85161,0.63362,0.51894,0.00663,0.001406,0.001406,0.001406
20,3520.02,0.90652,0.67419,0.00756,0.9444,0.96703,0.987,0.84999,0.61312,0.51809,0.00645,0.001373,0.001373,0.001373
21,3679.27,0.88274,0.67778,0.00749,0.90557,0.96703,0.98658,0.86199,0.58066,0.49157,0.00617,0.00134,0.00134,0.00134
22,3843.29,0.88248,0.6367,0.0073,0.9455,0.95328,0.98353,0.87926,0.50102,0.49648,0.00525,0.001307,0.001307,0.001307
23,3996.92,0.88472,0.62082,0.0076,0.98795,0.90098,0.98371,0.85289,0.58634,0.45804,0.00607,0.001274,0.001274,0.001274
24,4150.13,0.91247,0.60844,0.00763,0.96682,0.96071,0.98987,0.85488,0.61344,0.43076,0.00637,0.001241,0.001241,0.001241
25,4299.11,0.86349,0.60424,0.00714,0.92655,0.97042,0.98698,0.85619,0.5781,0.42057,0.00584,0.001208,0.001208,0.001208
26,4462.84,0.81517,0.57706,0.00719,0.94646,0.97802,0.98881,0.88927,0.44902,0.37388,0.00465,0.001175,0.001175,0.001175
27,4622.42,0.80854,0.54857,0.00685,0.96684,0.96138,0.99027,0.85427,0.54468,0.37697,0.00546,0.001142,0.001142,0.001142
28,4778.64,0.77399,0.53253,0.00661,0.94571,0.95707,0.98813,0.87352,0.48185,0.39267,0.005,0.001109,0.001109,0.001109
29,4934.38,0.78198,0.52324,0.00693,0.93589,0.98901,0.99042,0.88291,0.47094,0.34939,0.00497,0.001076,0.001076,0.001076
30,5091.67,0.7953,0.51692,0.00659,0.95657,0.96826,0.99085,0.89337,0.46711,0.32734,0.00495,0.001043,0.001043,0.001043
31,5248.43,0.74897,0.50454,0.0068,0.97713,0.93922,0.98997,0.90154,0.43803,0.35786,0.00443,0.00101,0.00101,0.00101
32,5404.97,0.78438,0.51118,0.00657,0.99538,0.95604,0.99136,0.87095,0.61348,0.34011,0.00669,0.000977,0.000977,0.000977
33,5560.24,0.7871,0.48599,0.0064,0.94257,0.96703,0.98503,0.90876,0.40994,0.32765,0.00431,0.000944,0.000944,0.000944
34,5718.23,0.75847,0.4802,0.00622,0.98803,0.90733,0.9861,0.89723,0.43505,0.34789,0.00443,0.000911,0.000911,0.000911
35,5877.26,0.76278,0.45601,0.00623,0.93511,0.96703,0.98772,0.90677,0.4362,0.32215,0.00459,0.000878,0.000878,0.000878
36,6033.46,0.74612,0.44357,0.00602,0.97814,0.98363,0.99313,0.91986,0.3835,0.27676,0.00385,0.000845,0.000845,0.000845
37,6190.94,0.6815,0.43373,0.00585,0.96574,0.96703,0.99,0.92942,0.34593,0.3012,0.00355,0.000812,0.000812,0.000812
38,6355.94,0.65703,0.42619,0.00541,0.95348,0.97802,0.99083,0.93113,0.37071,0.28277,0.00389,0.000779,0.000779,0.000779
39,6517.6,0.67326,0.40707,0.00562,0.96939,0.94505,0.98937,0.92452,0.36389,0.28146,0.00373,0.000746,0.000746,0.000746
40,6679.46,0.70071,0.41388,0.00574,0.9642,0.98901,0.99246,0.92021,0.3732,0.24916,0.00382,0.000713,0.000713,0.000713
41,6836.28,0.68792,0.43357,0.00594,0.95732,0.98586,0.99208,0.92228,0.39117,0.24927,0.00405,0.00068,0.00068,0.00068
42,6997.52,0.65267,0.4024,0.00522,0.96369,0.95604,0.98956,0.93419,0.36698,0.25826,0.00374,0.000647,0.000647,0.000647
43,7154.73,0.62998,0.37621,0.00545,0.9771,0.96703,0.9913,0.93311,0.34708,0.25758,0.00358,0.000614,0.000614,0.000614
44,7316.05,0.62776,0.38139,0.00523,0.9666,0.95412,0.99027,0.94683,0.30954,0.25431,0.00315,0.000581,0.000581,0.000581
45,7478.57,0.64377,0.40492,0.00579,0.97802,0.97783,0.99218,0.94058,0.32271,0.21931,0.00338,0.000548,0.000548,0.000548
46,7641.59,0.65605,0.39162,0.00587,0.96222,0.95604,0.9893,0.9458,0.30932,0.23648,0.00305,0.000515,0.000515,0.000515
47,7802.52,0.63281,0.3743,0.00567,0.97813,0.98293,0.99243,0.95114,0.29889,0.20969,0.00299,0.000482,0.000482,0.000482
48,7963.6,0.60088,0.38625,0.00493,0.98093,0.97802,0.99381,0.94544,0.32293,0.21252,0.00319,0.000449,0.000449,0.000449
49,8131.04,0.63007,0.37154,0.00517,0.96807,0.99941,0.99425,0.96179,0.28012,0.1936,0.00279,0.000416,0.000416,0.000416
50,12694.7,0.65326,0.35842,0.00542,0.98225,0.97802,0.99381,0.96437,0.28413,0.19853,0.00287,0.000383,0.000383,0.000383
51,12887.2,0.47612,0.28948,0.00478,0.96626,0.96703,0.99145,0.92054,0.35881,0.23421,0.00344,0.00035,0.00035,0.00035
52,13077.8,0.48433,0.28548,0.00496,1,0.99415,0.995,0.94967,0.33975,0.19389,0.00346,0.000317,0.000317,0.000317
53,13265,0.4962,0.26581,0.00503,0.96763,0.98565,0.9927,0.94186,0.32167,0.22239,0.00345,0.000284,0.000284,0.000284
54,13462.6,0.46915,0.26454,0.00502,0.96729,0.97493,0.99244,0.95076,0.32145,0.23327,0.00329,0.000251,0.000251,0.000251
55,13660.3,0.469,0.24378,0.00516,0.96698,0.96541,0.99187,0.96306,0.28625,0.20202,0.00299,0.000218,0.000218,0.000218
