epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.638,1.2293,2.05922,1.26801,1,0.32756,0.82481,0.5168,1.22587,2.58843,1.07701,0.00044,0.00044,0.00044
2,301.497,1.219,1.1836,1.18379,0.93139,0.707,0.79799,0.51899,1.17897,2.24148,1.12057,0.00088515,0.00088515,0.00088515
3,456.077,1.17028,1.07781,1.17169,0.98566,0.71616,0.86801,0.59488,1.11306,1.57335,1.05285,0.00131512,0.00131512,0.00131512
4,597.203,1.15756,1.06898,1.19844,0.6785,0.6815,0.75883,0.53888,1.14113,1.66529,1.13186,0.00172991,0.00172991,0.00172991
5,783.8,1.13373,0.99627,1.18547,0.9286,0.91667,0.95598,0.6517,1.13319,1.37973,1.15187,0.001868,0.001868,0.001868
6,944.802,1.05564,0.89461,1.13927,0.97681,0.87761,0.96227,0.65166,1.16825,1.03581,1.23328,0.001835,0.001835,0.001835
7,1085.57,1.08841,0.83782,1.14969,0.97332,0.90625,0.98036,0.72306,0.95697,0.9388,1.04445,0.001802,0.001802,0.001802
8,1223.55,1.05731,0.7941,1.13853,0.96806,0.89583,0.97527,0.62861,1.17237,0.86289,1.18206,0.001769,0.001769,0.001769
9,1384.13,1.00476,0.77445,1.11003,0.96903,0.97917,0.98565,0.66987,1.09179,0.7798,1.11294,0.001736,0.001736,0.001736
10,1533.39,0.96386,0.70644,1.09009,1,0.99779,0.995,0.77945,0.80964,0.63601,0.95614,0.001703,0.001703,0.001703
11,1677.89,0.97853,0.68373,1.10682,0.9782,0.93472,0.97575,0.73605,0.91179,0.81893,1.04128,0.00167,0.00167,0.00167
12,1824.44,0.9774,0.67045,1.10531,0.97934,0.9877,0.99439,0.79069,0.78942,0.58316,0.95567,0.001637,0.001637,0.001637
13,1969.61,0.95191,0.6492,1.09621,0.96953,0.99421,0.98849,0.78692,0.78041,0.57726,0.95362,0.001604,0.001604,0.001604
14,2116.84,0.93117,0.63774,1.07243,0.97769,1,0.99469,0.79468,0.74231,0.55683,0.92996,0.001571,0.001571,0.001571
15,2261.69,0.90451,0.6074,1.05759,0.9994,1,0.995,0.81579,0.70195,0.52864,0.91458,0.001538,0.001538,0.001538
16,2415.22,0.88915,0.6127,1.06302,0.98966,0.9973,0.99469,0.79951,0.74458,0.48896,0.94289,0.001505,0.001505,0.001505
17,2560.52,0.8309,0.56989,1.03933,0.99638,1,0.995,0.85108,0.61869,0.4634,0.89555,0.001472,0.001472,0.001472
18,2710.85,0.84591,0.55801,1.03298,0.99877,1,0.995,0.82624,0.71335,0.47941,0.91388,0.001439,0.001439,0.001439
19,2853.3,0.80084,0.54127,1.02026,0.98878,1,0.9949,0.85001,0.62352,0.44208,0.87954,0.001406,0.001406,0.001406
20,3002.57,0.7962,0.52251,1.0284,1,0.99982,0.995,0.83258,0.66522,0.43776,0.89549,0.001373,0.001373,0.001373
21,3148.15,0.7892,0.51204,1.0166,0.99906,1,0.995,0.83439,0.67394,0.43293,0.90288,0.00134,0.00134,0.00134
22,3295.75,0.74649,0.49079,1.00081,0.99846,1,0.995,0.88232,0.51167,0.38196,0.83982,0.001307,0.001307,0.001307
23,3440.2,0.74758,0.49377,1.01141,0.99923,1,0.995,0.8757,0.53241,0.38324,0.85622,0.001274,0.001274,0.001274
24,3587.76,0.72795,0.4849,1.00198,0.9989,1,0.995,0.88965,0.50607,0.36818,0.84196,0.001241,0.001241,0.001241
25,3733.28,0.73203,0.47314,0.98034,0.99929,1,0.995,0.85849,0.59206,0.39467,0.87695,0.001208,0.001208,0.001208
26,3878.55,0.74228,0.48087,0.9999,0.99936,1,0.995,0.88676,0.49525,0.35865,0.85621,0.001175,0.001175,0.001175
27,4023.18,0.70175,0.47235,0.99092,0.99654,1,0.995,0.84846,0.63253,0.39114,0.87576,0.001142,0.001142,0.001142
28,4171.42,0.68952,0.45383,0.97122,0.9986,1,0.995,0.89937,0.46511,0.3409,0.83493,0.001109,0.001109,0.001109
29,4380.49,0.67316,0.44759,0.98112,0.99931,1,0.995,0.90783,0.4492,0.33844,0.83214,0.001076,0.001076,0.001076
